year,baseline_region,site,species,site_counts_total,density_60m2_mean,density_60m2_sd,density_m2_mean,density_m2_sd
2008,CENTRAL,OTTER_PT_UC,Mesocentrotus franciscanus,5,5,NA,0.08333333333333333,NA
2008,CENTRAL,OTTER_PT_UC,Strongylocentrotus purpuratus,143,28.6,39.329378332234036,0.4766666666666667,0.6554896388705673
2008,CENTRAL,PESCADERO_DC,Strongylocentrotus purpuratus,5,2.5,2.1213203435596424,0.041666666666666664,0.035355339059327376
2008,CENTRAL,PESCADERO_UC,Mesocentrotus franciscanus,2,1,0,0.016666666666666666,0
2008,CENTRAL,PESCADERO_UC,Strongylocentrotus purpuratus,14,2.8,2.16794833886788,0.04666666666666667,0.03613247231446467
2008,CENTRAL,PINNACLES_IN,Mesocentrotus franciscanus,17,4.25,3.304037933599835,0.07083333333333333,0.05506729889333058
2008,CENTRAL,PINNACLES_IN,Strongylocentrotus purpuratus,28,4.666666666666667,2.7325202042558927,0.07777777777777778,0.04554200340426488
2008,CENTRAL,PINNACLES_OUT,Mesocentrotus franciscanus,18,4.5,2.6457513110645907,0.075,0.044095855184409845
2008,CENTRAL,PINNACLES_OUT,Strongylocentrotus purpuratus,64,10.666666666666666,8.140434058861153,0.17777777777777778,0.1356739009810192
2008,CENTRAL,PINOS,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2008,CENTRAL,PINOS,Strongylocentrotus purpuratus,5,1.25,0.5,0.020833333333333332,0.008333333333333333
2008,CENTRAL,PT_JOE,Mesocentrotus franciscanus,4,2,1.4142135623730951,0.03333333333333333,0.023570226039551587
2008,CENTRAL,PT_JOE,Strongylocentrotus purpuratus,3,1,0,0.016666666666666666,0
2008,CENTRAL,SIREN,Strongylocentrotus purpuratus,2,2,NA,0.03333333333333333,NA
2008,CENTRAL,SPANISH_BAY_UC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2008,CENTRAL,STILLWATER_DC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2008,CENTRAL,STILLWATER_DC,Strongylocentrotus purpuratus,3,1.5,0.7071067811865476,0.025,0.011785113019775792
2008,CENTRAL,WESTON_DC,Strongylocentrotus purpuratus,2,2,NA,0.03333333333333333,NA
2008,CENTRAL,WESTON_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2008,CENTRAL,WESTON_UC,Strongylocentrotus purpuratus,2,2,NA,0.03333333333333333,NA
2009,CENTRAL,BLUEFISH_DC,Mesocentrotus franciscanus,2,2,NA,0.03333333333333333,NA
2009,CENTRAL,BLUEFISH_DC,Strongylocentrotus purpuratus,27,4.5,2.7386127875258306,0.075,0.045643546458763846
2009,CENTRAL,BLUEFISH_UC,Mesocentrotus franciscanus,14,7,5.656854249492381,0.11666666666666667,0.09428090415820632
2009,CENTRAL,BLUEFISH_UC,Strongylocentrotus purpuratus,21,7,6,0.11666666666666667,0.1
2009,CENTRAL,HOPKINS_DC,Mesocentrotus franciscanus,7,7,NA,0.11666666666666667,NA
