group_code,marine_site_name,site_code,site_lat,site_long,ltm_lat,ltm_long,marine_sort_order,marine_common_year,season_name,marine_season_code,marine_common_season,min_survey_date,max_survey_date,target_assemblage,species_code,size_bin,total,num_plots_sampled,state_province,georegion,bioregion,mpa_designation,mpa_region,mpa_lt_region,mpa_name,island,last_updated
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2014,Fall,FA14,135,2014-10-08,2014-10-08,mytilus,MYTCAL,70,6,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2014,Fall,FA14,135,2014-10-08,2014-10-08,mytilus,MYTCAL,80,3,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2015,Fall,FA15,139,2015-11-24,2015-11-24,mytilus,MYTCAL,90,5,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2015,Fall,FA15,139,2015-11-24,2015-11-24,mytilus,MYTCAL,100,1,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2015,Fall,FA15,139,2015-11-24,2015-11-24,mytilus,MYTCAL,30,5,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2015,Fall,FA15,139,2015-11-24,2015-11-24,mytilus,MYTCAL,40,10,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2015,Fall,FA15,139,2015-11-24,2015-11-24,mytilus,MYTCAL,50,12,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2015,Fall,FA15,139,2015-11-24,2015-11-24,mytilus,MYTCAL,60,17,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2015,Fall,FA15,139,2015-11-24,2015-11-24,mytilus,MYTCAL,70,10,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2015,Fall,FA15,139,2015-11-24,2015-11-24,mytilus,MYTCAL,80,7,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2016,Fall,FA16,143,2016-10-16,2016-10-16,mytilus,MYTCAL,20,2,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2016,Fall,FA16,143,2016-10-16,2016-10-16,mytilus,MYTCAL,30,8,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2016,Fall,FA16,143,2016-10-16,2016-10-16,mytilus,MYTCAL,40,5,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2016,Fall,FA16,143,2016-10-16,2016-10-16,mytilus,MYTCAL,50,13,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2016,Fall,FA16,143,2016-10-16,2016-10-16,mytilus,MYTCAL,60,17,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2016,Fall,FA16,143,2016-10-16,2016-10-16,mytilus,MYTCAL,70,13,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2016,Fall,FA16,143,2016-10-16,2016-10-16,mytilus,MYTCAL,80,2,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2017,Fall,FA17,147,2017-10-21,2017-10-21,mytilus,MYTCAL,20,1,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2017,Fall,FA17,147,2017-10-21,2017-10-21,mytilus,MYTCAL,30,9,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2017,Fall,FA17,147,2017-10-21,2017-10-21,mytilus,MYTCAL,40,17,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2017,Fall,FA17,147,2017-10-21,2017-10-21,mytilus,MYTCAL,50,13,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2017,Fall,FA17,147,2017-10-21,2017-10-21,mytilus,MYTCAL,60,9,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2017,Fall,FA17,147,2017-10-21,2017-10-21,mytilus,MYTCAL,70,5,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2017,Fall,FA17,147,2017-10-21,2017-10-21,mytilus,MYTCAL,80,5,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
UCSC,Scott Creek,SCT,37.04425049,-122.23493,37.04425049,-122.23493,6030,2018,Fall,FA18,151,2018-10-09,2018-10-09,mytilus,MYTCAL,90,1,5,California,CA Central,San Francisco to Government Point,SMCA,Central Coast,Central Coast,Greyhound Rock SMCA,Mainland,2024-06-03 7:15:44 PM
